,Unnamed: 0,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
80,80,44,female,2,own,,,5943,24,radio/TV,bad
157,157,45,male,1,own,little,little,339,12,education,good
65,65,48,male,2,own,,,5190,27,repairs,good
489,489,26,male,2,rent,little,,3518,6,car,good
804,804,24,female,0,rent,,moderate,7472,12,car,good
696,696,29,male,2,own,little,moderate,1103,12,radio/TV,good
122,122,24,male,1,rent,little,,1768,12,furniture/equipment,good
528,528,31,male,2,rent,little,little,2302,36,radio/TV,bad
92,92,33,female,1,own,,,797,12,radio/TV,bad
320,320,28,male,3,own,little,moderate,4249,30,car,bad
244,244,35,female,1,own,quite rich,,3447,12,education,good
352,352,38,male,3,own,,,3229,18,car,good
480,480,23,female,1,own,little,moderate,3573,12,radio/TV,good
56,56,52,male,3,own,,moderate,6468,12,radio/TV,bad
572,572,26,female,3,rent,,,5433,24,car,good
212,212,50,male,2,own,little,little,5293,27,business,bad
977,977,42,male,2,own,,moderate,2427,18,business,good
985,985,25,female,2,rent,little,little,1433,15,furniture/equipment,good
810,810,26,male,2,own,little,moderate,907,8,business,good
596,596,23,female,2,rent,little,little,1442,24,car,bad
732,732,44,female,1,own,little,moderate,760,8,radio/TV,good
866,866,27,female,2,own,little,little,2389,18,radio/TV,good
301,301,42,female,2,own,little,moderate,3804,36,radio/TV,bad
588,588,47,male,1,own,little,little,1217,18,domestic appliances,bad
87,87,47,male,2,free,moderate,moderate,12612,36,education,bad
694,694,28,male,2,own,little,,2284,24,radio/TV,good
310,310,40,male,0,free,,moderate,5381,48,vacation/others,good
495,495,20,male,2,own,,little,2996,24,furniture/equipment,bad
138,138,35,male,2,own,,moderate,2728,15,radio/TV,good
449,449,61,male,2,own,rich,moderate,1512,15,repairs,bad
154,154,36,male,3,rent,moderate,moderate,6967,24,business,good
60,60,27,male,2,own,little,moderate,1391,9,business,good
971,971,43,male,1,own,little,,7393,24,car,good
152,152,24,male,2,own,little,rich,5848,36,radio/TV,good
724,724,21,female,2,rent,little,,2570,27,car,bad
586,586,36,male,2,rent,little,little,2799,9,car,good
70,70,30,female,2,own,little,,8133,36,car,good
386,386,21,female,2,rent,,,1126,18,radio/TV,good
319,319,27,female,1,own,little,little,3643,15,furniture/equipment,good
282,282,49,male,1,own,,rich,1445,18,radio/TV,good
299,299,32,male,2,own,rich,moderate,2745,21,furniture/equipment,good
366,366,27,male,2,own,little,,3850,18,car,good
447,447,35,male,2,own,little,moderate,2576,7,radio/TV,good
835,835,48,male,2,own,little,little,1082,12,car,bad
46,46,39,male,2,own,quite rich,,2299,36,radio/TV,good
862,862,35,female,2,own,little,little,2439,24,radio/TV,bad
165,165,32,male,2,own,quite rich,,2978,6,furniture/equipment,good
700,700,29,female,1,rent,quite rich,,1123,12,furniture/equipment,bad
924,924,55,male,2,own,little,little,6872,24,furniture/equipment,bad
638,638,34,female,2,own,little,,1493,12,radio/TV,good
680,680,56,female,2,own,little,,1538,6,education,good
374,374,60,female,3,free,moderate,moderate,14782,60,vacation/others,bad
532,532,41,male,2,rent,little,,1503,12,car,good
23,23,44,male,2,own,moderate,moderate,1804,12,car,good
184,184,36,male,2,own,little,moderate,884,18,car,bad
673,673,24,male,2,own,quite rich,,2080,6,car,good
